county,years,pop,,,,
Plumas,1999,"20,756",,,,
,2000,"20,653",,,,
,2001,"20,706",,,,
,2002,"20,695",,,,
,2003,"20,747",,,,
,2004,"20,899",,,,
,2005,"20,859",,,,
,2006,"20,710",,,,
,2007,"20,596",,,,
,2008,"20,368",,,,
,2009,"20,063",,,,
,2010,"19,993",,,,
Riverside,1999,"1,514,602",,,,
,2000,"1,557,271",,,,
,2001,"1,622,454",,,,
,2002,"1,688,407",,,,
,2003,"1,772,427",,,,
,2004,"1,856,879",,,,
,2005,"1,934,723",,,,
,2006,"2,017,350",,,,
,2007,"2,082,656",,,,
,2008,"2,122,920",,,,
,2009,"2,158,399",,,,
,2010,"2,191,800",,,,
Sacramento,1999,"1,204,658",,,,
,2000,"1,230,501",,,,
,2001,"1,265,767",,,,
,2002,"1,293,483",,,,
,2003,"1,320,963",,,,
,2004,"1,342,899",,,,
,2005,"1,358,168",,,,
,2006,"1,372,275",,,,
,2007,"1,388,086",,,,
,2008,"1,400,939",,,,
,2009,"1,411,403",,,,
,2010,"1,420,447",,,,
San Benito,1999,"52,185",,,,
,2000,"53,635",,,,
,2001,"54,696",,,,
,2002,"55,199",,,,
,2003,"55,458",,,,
,2004,"55,287",,,,
,2005,"55,153",,,,
,2006,"54,895",,,,
,2007,"55,000",,,,
,2008,"55,043",,,,
,2009,"55,093",,,,
,2010,"55,350",,,,
San Bernardino,1999,"1,683,843",,,,
,2000,"1,719,190",,,,
,2001,"1,763,780",,,,
,2002,"1,800,849",,,,
,2003,"1,850,075",,,,
,2004,"1,900,210",,,,
,2005,"1,942,734",,,,
,2006,"1,976,767",,,,
,2007,"2,002,651",,,,
,2008,"2,016,526",,,,
,2009,"2,022,319",,,,
,2010,"2,038,771",,,,
San Diego,1999,"2,776,342",,,,
,2000,"2,828,374",,,,
,2001,"2,870,096",,,,
,2002,"2,910,445",,,,
,2003,"2,943,961",,,,
,2004,"2,963,390",,,,
,2005,"2,970,135",,,,
,2006,"2,982,816",,,,
,2007,"3,014,165",,,,
,2008,"3,051,262",,,,
,2009,"3,077,633",,,,
,2010,"3,104,581",,,,
San Francisco,1999,"766,471",,,,
,2000,"778,942",,,,
,2001,"782,223",,,,
,2002,"783,255",,,,
,2003,"781,870",,,,
,2004,"780,699",,,,
,2005,"779,655",,,,
,2006,"782,928",,,,
,2007,"791,334",,,,
,2008,"798,673",,,,
,2009,"801,799",,,,
,2010,"807,177",,,,
San Joaquin,1999,"554,706",,,,
,2000,"567,753",,,,
,2001,"588,581",,,,
,2002,"603,544",,,,
,2003,"621,108",,,,
,2004,"638,522",,,,
,2005,"651,625",,,,
,2006,"660,885",,,,
,2007,"669,737",,,,
,2008,"675,248",,,,
,2009,"680,421",,,,
,2010,"686,761",,,,
San Luis Obispo,1999,"243,726",,,,
,2000,"247,724",,,,
,2001,"251,652",,,,
,2002,"253,549",,,,
,2003,"255,609",,,,
,2004,"258,483",,,,
,2005,"259,943",,,,
,2006,"261,803",,,,
,2007,"264,162",,,,
,2008,"266,850",,,,
,2009,"268,224",,,,
,2010,"269,753",,,,
San Mateo,1999,"700,830",,,,
,2000,"708,384",,,,
,2001,"707,460",,,,
,2002,"704,897",,,,
,2003,"703,062",,,,
,2004,"701,401",,,,
,2005,"699,277",,,,
,2006,"699,398",,,,
,2007,"704,272",,,,
,2008,"711,374",,,,
,2009,"716,264",,,,
,2010,"719,582",,,,
Santa Barbara,1999,"394,936",,,,
,2000,"399,874",,,,
,2001,"403,442",,,,
,2002,"406,132",,,,
,2003,"409,512",,,,
,2004,"411,190",,,,
,2005,"411,683",,,,
,2006,"412,853",,,,
,2007,"416,648",,,,
,2008,"419,970",,,,
,2009,"422,423",,,,
,2010,"424,291",,,,
Santa Clara,1999,"1,665,590",,,,
,2000,"1,687,415",,,,
,2001,"1,693,171",,,,
,2002,"1,693,162",,,,
,2003,"1,694,211",,,,
,2004,"1,696,919",,,,
,2005,"1,699,521",,,,
,2006,"1,713,839",,,,
,2007,"1,736,327",,,,
,2008,"1,759,534",,,,
,2009,"1,774,890",,,,
,2010,"1,787,553",,,,
Santa Cruz,1999,"253,241",,,,
,2000,"255,869",,,,
,2001,"256,166",,,,
,2002,"255,590",,,,
,2003,"255,122",,,,
,2004,"254,836",,,,
,2005,"254,725",,,,
,2006,"255,486",,,,
,2007,"257,601",,,,
,2008,"259,873",,,,
,2009,"261,912",,,,
,2010,"263,174",,,,
Shasta,1999,"162,154",,,,
,2000,"164,150",,,,
,2001,"167,034",,,,
,2002,"169,578",,,,
,2003,"171,987",,,,
,2004,"173,469",,,,
,2005,"174,254",,,,
,2006,"175,238",,,,
,2007,"175,849",,,,
,2008,"176,629",,,,
,2009,"176,881",,,,
,2010,"177,480",,,,
Sierra,1999,"3,548",,,,
,2000,"3,618",,,,
,2001,"3,587",,,,
,2002,"3,564",,,,
,2003,"3,545",,,,
,2004,"3,467",,,,
,2005,"3,430",,,,
,2006,"3,424",,,,
,2007,"3,344",,,,
,2008,"3,284",,,,
,2009,"3,243",,,,
,2010,"3,231",,,,
Siskiyou,1999,"44,241",,,,
,2000,"44,382",,,,
,2001,"44,275",,,,
,2002,"44,384",,,,
,2003,"44,597",,,,
,2004,"44,785",,,,
,2005,"44,945",,,,
,2006,"44,891",,,,
,2007,"44,862",,,,
,2008,"45,041",,,,
,2009,"44,950",,,,
,2010,"44,951",,,,
Solano,1999,"388,640",,,,
,2000,"395,991",,,,
,2001,"402,968",,,,
,2002,"406,816",,,,
,2003,"408,929",,,,
,2004,"411,389",,,,
,2005,"410,570",,,,
,2006,"411,351",,,,
,2007,"412,636",,,,
,2008,"413,167",,,,
